iter	Passed	Remaining
0	33	3295
1	66	3266
2	98	3179
3	130	3138
4	163	3097
5	166	2604
6	169	2247
7	170	1960
8	201	2041
9	234	2108
10	266	2152
11	297	2185
12	330	2209
13	361	2222
14	394	2235
15	427	2246
16	460	2246
17	492	2241
18	524	2234
19	556	2225
20	590	2220
21	623	2212
22	656	2196
23	689	2183
24	690	2072
25	723	2060
26	725	1960
27	757	1948
28	790	1936
29	824	1923
30	857	1907
31	890	1891
32	922	1872
33	953	1851
34	987	1833
35	1020	1815
36	1056	1798
37	1089	1777
38	1122	1755
39	1156	1734
40	1188	1710
41	1220	1684
42	1252	1659
43	1255	1597
44	1290	1577
45	1323	1553
46	1358	1531
47	1391	1507
48	1423	1481
49	1455	1455
50	1487	1429
51	1519	1402
52	1551	1375
53	1584	1349
54	1617	1323
55	1649	1296
56	1682	1268
57	1713	1240
58	1745	1212
59	1777	1185
60	1810	1157
61	1843	1129
62	1876	1101
63	1908	1073
64	1941	1045
65	1974	1017
66	2006	988
67	2039	959
68	2071	930
69	2103	901
70	2135	872
71	2168	843
72	2201	814
73	2233	784
74	2266	755
75	2298	725
76	2330	696
77	2363	666
78	2395	636
79	2428	607
80	2461	577
81	2494	547
82	2527	517
83	2559	487
84	2591	457
85	2625	427
86	2657	397
87	2690	366
88	2722	336
89	2756	306
90	2789	275
91	2821	245
92	2854	214
93	2886	184
94	2919	153
95	2952	123
96	2984	92
97	3016	61
98	3049	30
99	3081	0
